Factory,Month,GHG,SAH,EFF,WH,W
434,2019-04-01,14217.2,265216.0,0.47,1173926.0,5216.0
761,2019-04-01,19056.1,179568.0,0.74,473901.0,2179.0
1122,2019-04-01,5880.0,127287.0,0.46,561810.0,2554.0
1396,2019-04-01,6121.8,143986.0,0.36,794830.0,3668.0
150,2019-03-01,8406.9,245973.0,0.72,751859.0,3361.0
434,2019-03-01,15047.8,225104.0,0.48,965941.0,4423.0
761,2019-03-01,18156.4,161499.0,0.67,429550.0,1969.0
1122,2019-03-01,8558.9,162887.0,0.52,647519.0,2961.0
1396,2019-03-01,4776.4,128797.0,0.36,692657.0,3148.0
150,2019-02-01,7636.4,251370.0,0.66,762645.0,3424.0
434,2019-02-01,12643.0,253336.0,0.62,815081.0,3763.0
761,2019-02-01,17091.6,157230.0,0.79,407259.0,1813.0
1122,2019-02-01,4601.9,131961.0,0.55,464019.0,2150.0
1396,2019-02-01,6889.3,161359.0,0.32,987752.0,4425.0
150,2019-01-01,8884.3,286716.0,0.83,686289.0,3164.0
434,2019-01-01,17970.8,244253.0,0.47,1008900.0,4596.0
761,2019-01-01,17608.0,145062.0,0.63,480729.0,2204.0
1122,2019-01-01,6927.6,146308.0,0.47,603424.0,2753.0
1396,2019-01-01,5576.8,129162.0,0.36,741273.0,3387.0
150,2018-12-01,12699.6,286599.0,0.53,1161933.0,5247.0
434,2018-12-01,13914.2,252634.0,0.58,842910.0,3853.0
761,2018-12-01,17087.8,159353.0,0.82,396936.0,1827.0
1122,2018-12-01,7804.8,144578.0,0.48,587996.0,2697.0
1396,2018-12-01,5725.0,146320.0,0.4,813652.0,3689.0
150,2018-11-01,6977.1,241219.0,0.68,739640.0,3350.0
434,2018-11-01,28485.3,306274.0,0.39,1743912.0,7813.0
761,2018-11-01,21198.9,159326.0,0.71,466597.0,2135.0
1122,2018-11-01,6973.5,149706.0,0.53,592551.0,2738.0
1396,2018-11-01,8618.6,166937.0,0.32,1059586.0,4860.0
150,2018-10-01,10454.2,299340.0,0.75,793421.0,3577.0
434,2018-10-01,19676.3,284717.0,0.5,1251226.0,5610.0
761,2018-10-01,17131.1,136972.0,0.75,362186.0,1645.0
1122,2018-10-01,6512.2,177130.0,0.5,647905.0,2948.0
1396,2018-10-01,6385.9,151176.0,0.38,758843.0,3454.0
150,2018-09-01,11585.4,306261.0,0.7,944627.0,4306.0
434,2018-09-01,16416.0,329403.0,0.59,1168351.0,5378.0
761,2018-09-01,15376.4,166180.0,0.69,443923.0,2032.0
1122,2018-09-01,9557.3,176437.0,0.47,738667.0,3455.0
1396,2018-09-01,6596.8,142040.0,0.34,901143.0,4220.0
150,2018-08-01,8602.4,316498.0,0.74,845392.0,3864.0
434,2018-08-01,17952.9,268464.0,0.43,1220684.0,5622.0
761,2018-08-01,15155.2,152220.0,0.66,432533.0,2052.0
1122,2018-08-01,11514.2,159465.0,0.41,767221.0,3524.0
1396,2018-08-01,6737.2,151906.0,0.32,1009826.0,4567.0
